tweet_id,username,timestamp,content_raw,content_clean,mentions,hashtags,cashtags,likes,retweets,replies,engagement_score,source,search_hashtag,scraped_at
synthetic-nifty50-57,chartguru_cs,2026-08-04T00:10:10.195466+00:00,"nifty50 bearish, mandi ka mahaul hai, better to stay in cash. #nifty50","nifty50 bearish, mandi ka mahaul hai, better to stay in cash. #nifty50",[],['nifty50'],[],1324,153,106,1736,synthetic,nifty50,2026-08-04T09:47:55.928400+00:00
synthetic-intraday-360,niftybull_99,2026-08-04T05:56:12.255682+00:00,"SBIN hit all time high, momentum still building. #intraday #nifty50","SBIN hit all time high, momentum still building. #intraday #nifty50",[],['intraday' 'nifty50'],[],1789,7,234,2037,synthetic,intraday,2026-08-04T09:47:55.934068+00:00
synthetic-sensex-193,dalalstreet_desi,2026-08-04T06:59:52.394824+00:00,"sensex bullish structure intact, support held well at open. Tejji ka mood hai! #sensex","sensex bullish structure intact, support held well at open. Tejji ka mood hai! #sensex",[],['sensex'],[],2657,886,102,4531,synthetic,sensex,2026-08-04T09:47:55.930930+00:00
synthetic-intraday-282,chartguru_cs,2026-08-03T13:07:14.393820+00:00,"TATAMOTORS hit all time high, momentum still building. #intraday #sensex","TATAMOTORS hit all time high, momentum still building. #intraday #sensex",[],['intraday' 'sensex'],[],170,537,222,1466,synthetic,intraday,2026-08-04T09:47:55.932571+00:00
synthetic-sensex-183,options_ojasvi,2026-08-03T20:30:08.395242+00:00,"Bought ICICIBANK on the dip, expecting upper circuit tomorrow. #sensex @options_ojasvi","Bought ICICIBANK on the dip, expecting upper circuit tomorrow. #sensex @options_ojasvi",['options_ojasvi'],['sensex'],[],453,1061,177,2752,synthetic,sensex,2026-08-04T09:47:55.930818+00:00
synthetic-sensex-217,aparna.invests,2026-08-03T23:30:36.242367+00:00,"Bought TCS on the dip, expecting upper circuit tomorrow. #sensex @sensexqueen","Bought TCS on the dip, expecting upper circuit tomorrow. #sensex @sensexqueen",['sensexqueen'],['sensex'],[],4059,138,124,4459,synthetic,sensex,2026-08-04T09:47:55.931448+00:00
synthetic-nifty50-15,dalalstreet_desi,2026-08-04T05:44:46.637790+00:00,"Profit booking in TCS, correction due after the recent rally. #nifty50 @intraday_ishaan","Profit booking in TCS, correction due after the recent rally. #nifty50 @intraday_ishaan",['intraday_ishaan'],['nifty50'],[],221,1081,152,2535,synthetic,nifty50,2026-08-04T09:47:55.927544+00:00
synthetic-intraday-355,options_ojasvi,2026-08-03T13:15:52.664664+00:00,"Bought HDFCBANK on the dip, expecting upper circuit tomorrow. #intraday","Bought HDFCBANK on the dip, expecting upper circuit tomorrow. #intraday",[],['intraday'],[],4094,689,179,5651,synthetic,intraday,2026-08-04T09:47:55.933949+00:00
synthetic-banknifty-420,vfm_vikram,2026-08-03T20:14:56.087698+00:00,"Market update: banknifty flat, participants cautious before RBI policy. #banknifty","Market update: banknifty flat, participants cautious before RBI policy. #banknifty",[],['banknifty'],[],2231,59,35,2384,synthetic,banknifty,2026-08-04T09:47:55.935094+00:00
synthetic-sensex-134,traderraj,2026-08-03T23:59:17.487701+00:00,Gap up expected in TCS after strong global cues. Long term buy. #sensex,Gap up expected in TCS after strong global cues. Long term buy. #sensex,[],['sensex'],[],871,78,128,1155,synthetic,sensex,2026-08-04T09:47:55.929946+00:00
synthetic-intraday-303,quant_karan,2026-08-03T10:30:44.759052+00:00,Gap up expected in ADANIENT after strong global cues. Long term buy. #intraday,Gap up expected in ADANIENT after strong global cues. Long term buy. #intraday,[],['intraday'],[],3044,89,226,3448,synthetic,intraday,2026-08-04T09:47:55.932996+00:00
synthetic-nifty50-133,options_ojasvi,2026-08-03T16:32:30.360027+00:00,"Market update: nifty50 flat, participants cautious before RBI policy. #nifty50 !! check now check now 🔥","Market update: nifty50 flat, participants cautious before RBI policy. #nifty50 !! check now check now 🔥",[],['nifty50'],[],3469,988,233,5678,synthetic,nifty50,2026-08-04T09:47:55.929905+00:00
synthetic-banknifty-521,vfm_vikram,2026-08-03T13:02:51.942241+00:00,Gap up expected in INFY after strong global cues. Long term buy. #banknifty,Gap up expected in INFY after strong global cues. Long term buy. #banknifty,[],['banknifty'],[],3172,327,53,3879,synthetic,banknifty,2026-08-04T09:47:55.936880+00:00
synthetic-sensex-171,bankniftywolf,2026-08-03T17:28:59.514794+00:00,"Market update: sensex flat, participants cautious before RBI policy. #sensex","Market update: sensex flat, participants cautious before RBI policy. #sensex",[],['sensex'],[],4149,805,93,5852,synthetic,sensex,2026-08-04T09:47:55.930541+00:00
synthetic-banknifty-466,options_ojasvi,2026-08-04T00:26:56.531127+00:00,"Watching TATAMOTORS closely ahead of results, no clear direction yet. #banknifty @sensexqueen","Watching TATAMOTORS closely ahead of results, no clear direction yet. #banknifty @sensexqueen",['sensexqueen'],['banknifty'],[],1470,258,154,2140,synthetic,banknifty,2026-08-04T09:47:55.935954+00:00
